Arquivo,Elemento,Posição,Bitola,Qtde,Comprimento (mm),Peso (kg)
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,336,Ø10,1,336,0.20731200000000002
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,25,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,12,Ø5.0,1,560,0.08624000000000001
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,12,Ø5.0,1,560,0.08624000000000001
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,560,Ø5.0,1,560,0.08624000000000001
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,10,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,42,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,330,Ø5.0,1,330,0.050820000000000004
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,L1,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,50,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,6,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,N2,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,6,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,330,Ø5.0,1,330,0.050820000000000004
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,L1,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,50,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,6,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,N2,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,6,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,327,Ø5.0,1,327,0.050358
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,28,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,8,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,24,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,4,Ø10,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,46,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,38,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø5.0,1,0,0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,5,Ø10,1,327,0.201759
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia,—,1,Ø10,1,327,0.201759
