Arquivo;Elemento;Posição;Bitola;Qtde;Comprimento (m);Peso (kg)
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P10;N2;Ø5.0;0;3.3;0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P11;N2;Ø5.0;10;3.3;5.086
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P13;N2;Ø5.0;327;3.3;166.316
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P14;N2;Ø5.0;10;3.3;5.086
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P32;N3;Ø5.0;327;3.3;166.316
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P33;N3;Ø5.0;10;3.3;5.086
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P34;N3;Ø5.0;0;0.36;0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P39;N3;Ø5.0;344;3.3;174.963
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P42;N3;Ø5.0;10;3.3;5.086
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P58;N3;Ø5.0;327;3.3;166.316
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P37;N6;Ø5.0;327;3.3;166.316
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P38;N6;Ø5.0;357;0.357;19.643
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P40;N6;Ø5.0;360;3.3;183.101
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P41;N10;Ø5.0;330;3.3;167.842
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P43;N2;Ø5.0;330;3.3;167.842
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P45;N4;Ø5.0;330;3.3;167.842
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P46;N2;Ø5.0;357;3.3;181.575
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P47;N2;Ø5.0;330;0.368;18.717
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P50;N7;Ø5.0;330;3.3;167.842
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P51;N3;Ø5.0;327;3.3;166.316
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P52;N3;Ø5.0;330;0.368;18.717
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P54;N5;Ø5.0;330;3.3;167.842
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P56;N2;Ø5.0;327;3.3;166.316
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P57;N2;Ø5.0;327;0.327;16.48
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P60;N4;Ø5.0;0;3.3;0.0
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P62;N2;Ø5.0;327;6.6;332.633
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P63;N9;Ø5.0;477;6.6;485.216
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P65;N1;Ø5.0;327;5.67;285.762
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dxf;P65;N5;Ø5.0;45;0.345;2.393
