arquivo;elemento;posicao;bitola;qtd;comp_m;peso_kg;obs
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø10;4;50.000;123.305;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;6;0.327;1.210;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;6;0.327;1.210;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.122;0.301;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;7;0.075;0.081;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø10;4;0.327;0.806;
